TitleID,Title,Author,Holding Institution,Year,StartYear,EndYear,Full Publication Details,Place of Publication,Latitude,Longitude,Language,Includes subject,TitleURL
144,"Symbolae Antillanae,seu, Fundamenta florae Indiae Occidentalis","Urban, Ignaz, 1848-1931",University of California Libraries (archive.org),,1898,1928,"Berolini :Parisiis :Fratres Borntraeger ;Paul Klincksieck,1898-1928.","Berlin, Germany and Paris, France",52.5200080,13.4049540,GER,West Indies,https://www.biodiversitylibrary.org/bibliography/144
144,"Symbolae Antillanae,seu, Fundamenta florae Indiae Occidentalis","Urban, Ignaz, 1848-1931",University of California Libraries (archive.org),,1898,1928,"Berolini :Parisiis :Fratres Borntraeger ;Paul Klincksieck,1898-1928.","Berlin, Germany and Paris, France",52.5200080,13.4049540,GER,West Indies,https://www.biodiversitylibrary.org/bibliography/144
144,"Symbolae Antillanae,seu, Fundamenta florae Indiae Occidentalis","Urban, Ignaz, 1848-1931",University of California Libraries (archive.org),,1898,1928,"Berolini :Parisiis :Fratres Borntraeger ;Paul Klincksieck,1898-1928.","Berlin, Germany and Paris, France",52.5200080,13.4049540,GER,West Indies,https://www.biodiversitylibrary.org/bibliography/144
144,"Symbolae Antillanae,seu, Fundamenta florae Indiae Occidentalis","Urban, Ignaz, 1848-1931",University of California Libraries (archive.org),,1898,1928,"Berolini :Parisiis :Fratres Borntraeger ;Paul Klincksieck,1898-1928.","Berlin, Germany and Paris, France",52.5200080,13.4049540,GER,West Indies,https://www.biodiversitylibrary.org/bibliography/144
144,"Symbolae Antillanae,seu, Fundamenta florae Indiae Occidentalis","Urban, Ignaz, 1848-1931",University of California Libraries (archive.org),,1898,1928,"Berolini :Parisiis :Fratres Borntraeger ;Paul Klincksieck,1898-1928.","Berlin, Germany and Paris, France",52.5200080,13.4049540,GER,West Indies,https://www.biodiversitylibrary.org/bibliography/144
144,"Symbolae Antillanae,seu, Fundamenta florae Indiae Occidentalis","Urban, Ignaz, 1848-1931",University of California Libraries (archive.org),,1898,1928,"Berolini :Parisiis :Fratres Borntraeger ;Paul Klincksieck,1898-1928.","Berlin, Germany and Paris, France",52.5200080,13.4049540,GER,West Indies,https://www.biodiversitylibrary.org/bibliography/144
144,"Symbolae Antillanae,seu, Fundamenta florae Indiae Occidentalis","Urban, Ignaz, 1848-1931",University of California Libraries (archive.org),,1898,1928,"Berolini :Parisiis :Fratres Borntraeger ;Paul Klincksieck,1898-1928.","Berlin, Germany and Paris, France",52.5200080,13.4049540,GER,West Indies,https://www.biodiversitylibrary.org/bibliography/144
144,"Symbolae Antillanae,seu, Fundamenta florae Indiae Occidentalis","Urban, Ignaz, 1848-1931",University of California Libraries (archive.org),,1898,1928,"Berolini :Parisiis :Fratres Borntraeger ;Paul Klincksieck,1898-1928.","Berlin, Germany and Paris, France",52.5200080,13.4049540,GER,West Indies,https://www.biodiversitylibrary.org/bibliography/144
144,"Symbolae Antillanae,seu, Fundamenta florae Indiae Occidentalis","Urban, Ignaz, 1848-1931",University of California Libraries (archive.org),,1898,1928,"Berolini :Parisiis :Fratres Borntraeger ;Paul Klincksieck,1898-1928.","Berlin, Germany and Paris, France",52.5200080,13.4049540,GER,West Indies,https://www.biodiversitylibrary.org/bibliography/144
144,"Symbolae Antillanae,seu, Fundamenta florae Indiae Occidentalis","Urban, Ignaz, 1848-1931",University of California Libraries (archive.org),,1898,1928,"Berolini :Parisiis :Fratres Borntraeger ;Paul Klincksieck,1898-1928.","Berlin, Germany and Paris, France",52.5200080,13.4049540,GER,West Indies,https://www.biodiversitylibrary.org/bibliography/144
144,"Symbolae Antillanae,seu, Fundamenta florae Indiae Occidentalis","Urban, Ignaz, 1848-1931",University of California Libraries (archive.org),,1898,1928,"Berolini :Parisiis :Fratres Borntraeger ;Paul Klincksieck,1898-1928.","Berlin, Germany and Paris, France",52.5200080,13.4049540,GER,West Indies,https://www.biodiversitylibrary.org/bibliography/144
144,"Symbolae Antillanae,seu, Fundamenta florae Indiae Occidentalis","Urban, Ignaz, 1848-1931",University of California Libraries (archive.org),,1898,1928,"Berolini :Parisiis :Fratres Borntraeger ;Paul Klincksieck,1898-1928.","Berlin, Germany and Paris, France",52.5200080,13.4049540,GER,West Indies,https://www.biodiversitylibrary.org/bibliography/144
144,"Symbolae Antillanae,seu, Fundamenta florae Indiae Occidentalis","Urban, Ignaz, 1848-1931",University of California Libraries (archive.org),,1898,1928,"Berolini :Parisiis :Fratres Borntraeger ;Paul Klincksieck,1898-1928.","Berlin, Germany and Paris, France",52.5200080,13.4049540,GER,West Indies,https://www.biodiversitylibrary.org/bibliography/144
144,"Symbolae Antillanae,seu, Fundamenta florae Indiae Occidentalis","Urban, Ignaz, 1848-1931",University of California Libraries (archive.org),,1898,1928,"Berolini :Parisiis :Fratres Borntraeger ;Paul Klincksieck,1898-1928.","Berlin, Germany and Paris, France",52.5200080,13.4049540,GER,West Indies,https://www.biodiversitylibrary.org/bibliography/144
144,"Symbolae Antillanae,seu, Fundamenta florae Indiae Occidentalis","Urban, Ignaz, 1848-1931",University of California Libraries (archive.org),,1898,1928,"Berolini :Parisiis :Fratres Borntraeger ;Paul Klincksieck,1898-1928.","Berlin, Germany and Paris, France",52.5200080,13.4049540,GER,West Indies,https://www.biodiversitylibrary.org/bibliography/144
