Title,Author,Year,Place of publication,Language,Volume,Page
A manual of gardening for Bengal and Upper India.  ,"Firminger, Thomas Augustus Charles,      1812 -1884",1874,Kolkata,English,,Page 280
Suggestions received by the Agricultural & Horticultural Society of India for extending the cultivation and introduction of useful and ornamental plants : with a view to the improvement of the agricultural and commercial resources of India  ,Agricultural & Horticultural Society of India.       ,1841,Kolkata,English,,Page 16
Schriften der KÃ¶niglichen Physikalisch-Ã–konomischen Gesellschaft zu KÃ¶nigsberg.  ,KÃ¶nigliche Physikalisch-Ã–konomische Gesellschaft zu KÃ¶nigsberg.       ,1866,Königsberg,German,jahrg.7-9 (1866-1868),Page 127
Schriften der Physikalisch-OÌˆkonomischen Gesellschaft zu KoÌˆnigsberg  ,Physikalisch-OÌˆkonomische Gesellschaft zu KoÌˆnigsberg       ,1907,Königsberg,German,jahrg.48-49 (1907-1908),Page 382
"Proceedings of the First Agricultural Conference, Malaya, held at the Chamber of Commerce, Kuala Lumpur, April 25th to 28th 1917. ...  ",Malaya.  Agricultural Conference  Kuala Lumpur)  1917 -,1917,Kuala Lumpur,English,,Page 150
"Proceedings of the First Agricultural Conference, Malaya, held at the Chamber of Commerce, Kuala Lumpur, April 25th to 28th, 1917 : including the papers contributed to the conference and reports of the discussions.  ","Bunting, B.     (Benjamin)  ",1917,Kuala Lumpur,English,,150
Revista del Museo de La Plata.  ,Universidad Nacional de La Plata.       ,1906,La Plata,Spanish,t.13 (1906),Page 8
Bulletin of the New York Botanical Garden.  ,New York Botanical Garden.       ,1921,Lancaster,English,v.11 (1921),Page 195
"Arboretum of Wm. R. Grove, Laurel, Saratoga County, Florida ... December 1946 : edible fruits, nuts, etc.  ",Henry G. Gilbert Nursery and Seed Trade Catalog Collection.       ,1946,Laurel,English,1946,
Nederlandsch kruidkundig archief.  ,Koninklijke Nederlandse Botanische Vereniging.       ,1846,Leiden,Dutch,ser.2 v.4 1886,Page 247
Die Papageien  ,"Finsch, Friedrich Hermann Otto     Friedrich Hermann Otto Finsch 1839 -1917",1867,Leiden,German,1,Page 50
Archiv fÃ¼r Physiologie.  ,Physiologische Gesellschaft zu Berlin.       ,1892,Leipzig,German,Jahrg.1892,Page 549
"Die Bau- und NutzhÃ¶lzer, umfassend das Holz als Rohmaterial fÃ¼r gewerbliche Zwecke sowie als Handelsware. Ein Hand- und Nachschlagebuch fÃ¼r Baumeister, HolzhÃ¤ndler, Waldbesitzer, Forstbeamte und sonstige Holzinteressenten.   ","Printz, Eduard,       ",1908,Leipzig,German,,Page 129
"Beihefte zum botanischen Centralblatt. Erste Abteilung Anatomie, Histologie, Morphologie und Physiologie der Pflanzen.",,1921,Leipzig,German,Bd.39:Abt.2 (1921-1923),Page 95
Botanische Wanderungen in Brasilien. Reiseskizzen und Vegetationsbilder  ,"Detmer, Wilhelm,      1850 -1930",1897,Leipzig,German,,Page 26
Botanisches Archiv.Zeitschrift fÃ¼r die gesamte Botanik.  ,,1923,Leipzig,German,v.3 (1923),Page 39
Brehms Tierleben. Allgemeine kunde des Tierreichs  ,"Werner, Franz,      1867 -1939",1912,Leipzig,German,Bd.10=Bd.1 (1912),Page 432
Brockhaus' Konversations-Lexikon  ,,1892,Leipzig,German,Bd.3 (1892),Page 437
"Dr. L. Rabenhorst's Kryptogamen-Flora von Deutschland, Oesterreich und der Schweiz  ","Rabenhorst, Ludwig,      1806 -1881",1892,Leipzig,German,Bd.1:Abt.4 (1892),Page 240
Gesammelte Abhandlungen zur allgemeinen Muskel- und Nervenphysik  ,"Du Bois-Reymond, Emil Heinrich,      1818 -1896",1875,Leipzig,German,1,Page 18
"GruÌˆndzuge der Botanik; Repetitorium fuÌˆr Studierende der Naturwissenschaften und Medicin und Lehrbuch fuÌˆr politechnische, land- und forstwirtschaftliche Lehranstalten.  ","Luerssen, Chr.     (Christian), 1843 -1916",1877,Leipzig,German,-1877,Page 374
GrundzÃ¼ge der Systematik und speciellen Pflanzenmorphologie  ,"Sachs, Julius,      1832 -1897",1882,Leipzig,German,1882,Page 506
Handbuch der Experimental-Physiologie der Pflanzen : Untersuchungen uber die allgemeinen Lebensbedingungen der Pflanzen und die Functionen ihrer Organe  ,"Sachs, Julius,      1832 -1897",1865,Leipzig,German,,Page 442
Handbuch der Experimental-Physiologie der Pflanzen : Untersuchungen uÌˆber die allgemeinen Lebensbedingungen der Pflanzen und die Functionen ihrer Organe  ,"Sachs, Julius,      1832 -1897",1865,Leipzig,German,1865,Page 442
Handbuch der Pharmakognosie  ,"Remy, E.       ",1909,Leipzig,German,v. 2 pt. 1,Page 585
JarbÃ¼cher fÃ¼r wissenschaftliche Botanik.  ,,1858,Leipzig,German,8,Page 489
Just's Botanischer Jahresbericht  ,"Just, Johann Leopold,      1841 -1891",1888,Leipzig,German,Jahrg.16:Abt.1 (1888),Page 464
"Lehrbuch der Botanik, fÃ¼r mittlere und hÃ¶here lehranstalten  ","Prantl, Karl,      1849 -1893",1891,Leipzig,German,,Page 316
Lehrbuch der Botanik fÃ¼r mittlere und hÃ¶here Lehrenstalten  ,"Prantl, Karl,      1849 -1893",1883,Leipzig,German,,Page 292
Lehrbuch der botanik nach dem gegenwÃ¤rtigen stand der wissenschaft.  ,"Sachs, Julius,      1832 -1897",1874,Leipzig,German,,Page 609
Lehrbuch der physiologischen und pathologischen Chemie ; in fÃ¼nfundzwanzig Vorlesungen fÃ¼r Ã„rzte und Studirende  ,"Bunge, Gustav von,      1844 -1920",1894,Leipzig,German,,Page 429
Die Lehre von der Pflanzenzelle  ,"Hofmeister, Wilhelm,      1824 -1877",1867,Leipzig,German,,Page 178
Meyers Konversations-Lexikon : eine EncyklopÃ¤die des allgemeinen Wissens  ,"Meyer, Hermann Julius,      1826 -1909",1890,Leipzig,German,12,Page 711
Das Mikroskop. Ein Leitfaden der wissenschaftlichen Mikroskopie.  ,"Zimmermann, A.     (Albrecht), 1860 -1931",1895,Leipzig,German,,Page 188
"Die NatÃ¼rlichen Pflanzenfamilien nebst ihren Gattungen und wichtigeren Arten, insbesondere den Nutzpflanzen, unter Mitwirkung zahlreicher hervorragender Fachgelehrten begrÃ¼ndet  ","Engler, Adolf,      1844 -1930",1887,Leipzig,German,"Teil 1, Abt. 1",Page 306
Pflanzenphysiologie. Ein Handbuch des Stoffwechsels und Kraftwechsels in der Pflanze.   ,"Pfeffer, W.     (Wilhelm), 1845 -1920",1881,Leipzig,German,1,Page 20
Physiologische Pflanzenanatomie.    ,"Haberlandt, Gottlieb,      1854 -1945",1904,Leipzig,German,,Page 373
"Reisen in Britisch-Guiana in den Jahren 1840-1844 : nebst einer Fauna und Flora Guiana's nach Vorlagen von Johannes MÃ¼ller, Ehrenberg, Erichson, Klotzsch, Troschel, Cabanis und Andern  ","Ehrenberg, Christian Gottfried,      1795 -1876",1848,Leipzig,German,Bd.2,Page 50
Die rohstoffe des pflanzenreiches; versuch einer technischen rohstofflehre des pflanzenreiches  ,"Wiesner, Julius,      1838 -1916",1900,Leipzig,German,Bd.1 (1900),Page 375
Die Rohstoffe des Pflanzenreichs : versuch einer Technischen Rohstofflehre des Pflanzenreiches  ,"Wiesner, Julius,      1838 -1916",1914,Leipzig,German,1,Page 747
"Schulflora der Provinz Schleswig-Holstein, des FÃ¼rstentums LÃ¼beck, sowie des Gebietes der freien StÃ¤dte Hamburg und LÃ¼beck  ","Knuth, Paul,      1854 -1899",1888,Leipzig,German,sowie des Gebietes der freien StÃ¤dte Hamburg und L,Page 163
SÃ¼d- und Mittelamerika.  ,"Sievers, Wilhelm,      1860 -1921",1914,Leipzig,German,,Page 141
Systema materiae medicae vegetabilis brasiliensis  ,"Martius, Karl Friedrich Philipp von,      1794 -1868",1843,Leipzig,Latin,,Page 17
"TaschenwoÌˆrterbuch fuÌˆr Botaniker und alle Freunde der Botanik : enthaltend die botanische Nomenklatur, Terminologie und Litteratur nebst einem alphabetischen Verzeichnisse aller wichtigen Zier-, Treibhaus- und Kulturpflanzen, sowie derjenigen der heimischen Flora  ","Glaser, L.     (Ludwig), 1818 -1898",1885,Leipzig,German,,Page 389
Tierleben : allgemeine Kunde des Tierreichs.  ,"Brehm, Alfred Edmund,      1829 -1884",1911,Leipzig,German,,Page 432
Vergleichende Anatomie der Vegetationsorgane der Phanerogamen und Farne  ,"Bary, A. de     (Anton), 1831 -1888",1877,Leipzig,German,1,Page 178
WÃ¶rterbuch der biologie. Von dr. Heinrich Schmidt.    ,"Schmidt, Heinrich,      1874 -1935",1912,Leipzig,German,,Page 49
Zellenlehre und anatomie der pflanzen  ,"Miehe, Hugo.       ",1911,Leipzig,German,,Page 21
Belgique horticole  ,"Morren, Edouard,      1833 -1886",1856,Liège,French,t.6 (1856),Page 219
Annals of botany  ,"Balfour, Isaac Bayley,      1853 -1922",1887-1888,London,English,v.1 (1887-1888),Page xc
Annals of horticulture ; and year-book of information on practical gardening.  ,,1850,London,English,1850,Page 333
Annals of natural history.  ,,1839,London,English,v. 2 (1839),Page 487
"Aspects of nature, in different lands and climates; with scientific elucidations.  ","Humboldt, Alexander von,      1769 -1859",1849,London,English,,Page 213
"Aspects of nature, in different lands and different climates. With scientific elucidations.  Translated by Mrs. Sabine.   ","Humboldt, Alexander von,      1769 -1859",1849,London,English,1,Page 213
"Aspects of nature, in different lands and different climates with scientific elucidations  ","Humboldt, Alexander von,      1769 -1859",1849,London,English,1,Page 213
At last: a Christmas in the West Indies.   ,"Kingsley, Charles,      1819 -1875",1871,London,English,,Page 116
"Botanical microtechnique : a hand-book of methods for the preparation, staining, and microscopical investigation of vegetable structures  ",Royal College of Physicians of Edinburgh.       ,1896,London,English,,
"Botany for ladies; or, A popular introduction to the natural system of plants, according to the classification of De Candolle.  ","Loudon,   Mrs.  (Jane) 1807 -1858",1842,London,English,,Page 360
"The British cyclopaedia of natural history; combining a scientific classification of animals, plants, and minerals, with a popular view of their habits, economy, and structure.  By authors eminent in their particular department.  ","Partington, Charles Frederick,       1857?",1835,London,English,3,Page 834
"The British cyclopÃ¦dia of natural history: combining a scientific classification of animals, plants, and minerals ...  ","Partington, Charles Frederick,       1857?",1835,London,English,3,Page 834
Bulletin of miscellaneous information  ,"Royal Botanic Gardens, Kew.       ",1887,London,English,1887,Page 11
Bulletin of the British Ornithologists' Club.  ,British Ornithologists' Club.       ,2013,London,English,vol.133:no.3(Sep 2013),Page 197
"Catalogue of scientific papers, 1800-1863 [to 1884-1900]  ",Royal Society (Great Britain)       ,1868,London,English,v.2=[1860-1863:COA-GRA] (1868),Page 416
"Catalogue of the contents of the museum of the Royal College of Surgeons of England : Part 1 , Plants and invertebrate animals in the dried state.  ",Royal College of Physicians of London.       ,1860,London,English,,Page 77
Catalogue of the science collections for teaching and research in the South Kensington Museum ...    ,South Kensington Museum.       ,1891,London,English,7,Page 100
"Chamber's encyclopaedia, a dictionary of universal knowledge.   ",,1902,London,English,5,Page 20
The colony of British Honduras : its resources and prospects; with particular reference to its indigenous plants and economic productions  ,"Morris, D.   Sir,  (Daniel), 1844 -1933",1883,London,English,,Page 114
A contribution to our knowledge of seedlings  ,"Lubbock, John,   Sir,   1834 -1913",1892,London,English,1,Page 332
"A description and history of vegetable substances, used in the arts, and in domestic economy    ",Society for the Diffusion of Useful Knowledge (Great Britain)       ,1829,London,English,,Page 397
"A Description and history of vegetable substances, used in the arts, and in domestic economy.  Timber trees; fruits ...  ",Society for the Diffusion of Useful Knowledge (Great Britain)       ,1829,London,English,,Page 397
The desert world.  ,"Mangin, Arthur,      1824 -1887",1869,London,English,,Page 433
"Dictionary of arts, manufactures, and mines containing a clear exposition of their principles and practice  ","Hunt, Robert,      1807 -1887",1875,London,English,1,Page 339
"A dictionary of English names of plants applied in England and among English-speaking people to cultivated and wild plants, trees, and shrubs  ","Miller, William.       ",1884,London,English,and shrubs,Page 93
"A dictionary of popular names of the plants which furnish the natural and acquired wants of man, in all matters of domestic and general economy. Their history, products, & uses  ","Smith, John,      1798 -1888",1882,London,English,,Page 61
Domestic botany.   ,"Smith, John,      1798 -1888",1871,London,English,,Page 376
"An elementary course of botany : structural, physiological, and systematic  ","Henfrey, Arthur,      1819 -1859",1878,London,English,,Page 261
An elementary text-book of botany  ,"Vines, Sydney Howard,      1849 -1934",1881,London,English,,Page 291
An elementary text-book of botany.  ,"Vines, Sydney Howard,      1849 -1934",1880,London,English,,Page 275
First book of Indian botany.    ,"Oliver, Daniel,      1830 -1916",1907,London,English,,Page 210
Flora of the British West Indian Islands  ,"Grisebach, A.     (August), 1814 -1879",1864,London,English,,Page 243
Flora of the British West Indian islands.   ,"Grisebach, A.     (August), 1814 -1879",1864,London,English,,
The flowering plants of Western India.    ,"Nairne, Alexander Kyd.       ",1894,London,English,,Page 116
Foreign birds for cage and aviary.  ,"Butler, Arthur G.     (Arthur Gardiner), 1844 -1925",1910,London,English,2,Page 153
"Freaks and marvels of plant life; or, Curiosities of vegetation.   ","Cooke, M. C.     (Mordecai Cubitt), 1825 -1914",1882,London,English,,Page 312
"Freaks and marvels of plant life; or, Curiosities of vegetation.  ","Cooke, M. C.     (Mordecai Cubitt), 1825 -1914",1881,London,English,,
The Garden: an illustrated weekly journal of gardening in all its branches  ,,1874,London,English,v.6 1874,
The Gardeners' chronicle.  ,,1842,London,English,1842,Page 239
The Gardeners' chronicle :a weekly illustrated journal of horticulture and allied subjects.  ,,1876,London,English,n.s.:v.6 (1876),Page 208
The gardening world illustrated : a weekly paper exclusively devoted to all branches of practical gardening  ,,1894,London,English,v.10(1893-1894),Page 340
"A general history of the dichlamydeous plants, comprising complete descriptions of the different orders; together with the characters of the genera and species, and an enumeration of the cultivated varieties ... the scientific names accentuated, their etymologies explained; and the classes and orders illustrated by engravings, and preceded by introductions to the LinnÃ¦an and natural systems, and a glossary of the terms used ...  ","Don, George,      1798 -1856",1831,London,English,2,Page 872
"A general system of botany, descriptive and analytical. In two parts. Part I. Outlines of organography, anatomy, and physiology.  Part II. Descriptions and illustrations of the orders. By Emm. Le Maout [and] J. Decaisne. With 5500 figures by L. Steinheil and A. Riocreux.  Translated from the original by Mrs. Hooker.  The orders arranged after the method followed in the universities and schools of Great Britain, its colonies, America, and India; with additions, an appendix on the natural method, and a synopsis of the orders, by J.D. Hooker.  ","Hooker, Joseph Dalton,      1817 -1911",1873,London,English,,
"A general system of botany, descriptive and analytical in two parts  ","Decaisne, Joseph,      1807 -1882",1876,London,English,,Page 423
A general system of botany descriptive and analytical. In two parts.  ,"Hooker, Joseph Dalton,      1817 -1911",1876,London,English,,Page 1055
"A general system of gardening and botany. Founded upon Miller's Gardener's dictionary, and arranged according to the natural system.  ","Don, George,      1798 -1856",1832,London,English,v.2 (1832),Page 872
A guide to the exhibition rooms of the Departments of Natural History and Antiquities  ,British Museum (Natural History)       ,1877,London,English,1877,Page 68
A guide to the exhibition rooms of the departments of natural history and antiquities.  ,British Museum       ,1867,London,English,1867,Page 57
A handbook of systematic botany  ,"Warming, Eugenius,      1841 -1924",1904,London,English,,Page 489
Hardwicke's science-gossip : an illustrated medium of interchange and gossip for students and lovers of nature.  ,"Cooke, M. C.     (Mordecai Cubitt), 1825 -1914",1878,London,English,v.14-15(1878-1879),Page 239
Hooker's journal of botany and Kew Garden miscellany.  ,"Hooker, William Jackson,   Sir,   1785 -1865",1854,London,English,v.6 (1854),Page 39
"The illustrated dictionary of gardening, a practical and scientific encyclopedia of horticulture for gardeners and botanists.  ","Nicholson, George,      1847 -1908",1884,London,English,1,Page 184
Illustrations of the natural orders of plants with groups and descriptions. Reduced from the original folio ed.   ,"Twining, Elizabeth,      1805 -1889",1868,London,English,1,Page xi
Illustrations of the principal natural orders of the vegetable kingdom  ,"Oliver, Daniel,      1830 -1916",1874,London,English,,Page 43
International catalogue of scientific literature. M Botany.,Royal Society (Great Britain)       ,1902,London,English,v.1 (1902-1903),Page 172
International catalogue of scientific literature.  ,Royal Society (Great Britain)       ,1902,London,English,"1902 Div. M, pt.1 (May)",Page 121
An introduction to botany  ,"Lindley, John,      1799 -1865",1835,London,English,2nd ed. (1835),Page 516
An introduction to the chemistry of plant products.    ,"Haas, Paul.       ",1917,London,English,,Page 323
Introduction to the chemistry of plant products  ,"Haas, Paul,      1877 -",1913,London,English,,Page 313
An introduction to the chemistry of plant products  ,"Haas, Paul,      1877 -",1917,London,English,,Page 323
"An introduction to the natural system of botany : or, A systematic view of the organisation, natural affinities, and geographical distribution, of the whole vegetable kingdom : together with the uses of the most important species in medicine, the arts, and rural or domestic economy  ","Lindley, John,      1799 -1865",1830,London,English,,Page 45
An introduction to the structure and reproduction of plants  ,"Fritsch, Felix Eugene,      1879 -",1920,London,English,,
An introduction to the structure and reproduction of plants.    ,"Fritsch, F. E.     (Felix Eugene), 1879 -1954",1920,London,English,,Page 416
An introduction to the study of botany  ,"Smith, James Edward,      1759 -1828",1833,London,English,,Page 224
Journal of botany :being a second series of the Botanical miscellany.  ,"Hooker, William Jackson,   Sir,   1785 -1865",1840,London,English,v. 2 1840,Page 324
"Journal of botany, British and foreign.  ","Rendle, A. B.     (Alfred Barton), 1865 -1938",1893,London,English,v. 31 1893,Page 26
"The Journal of horticulture, cottage gardener and country gentlemen.  ",,1872,London,English,n.s. v. 22 (o.s. v. 47) (Jan.-June 1872),Page v
"The journal of horticulture, cottage gardener, and home farmer : a chronicle of country pursuits and country life, including poultry, pigeon and bee-keeping  ","Hogg, Robert      1818 -1897",1885,London,English,ser.3:v.10 (1885),Page 9
"The Journal of the Horticultural Society of London, 1846-1855  ",Horticultural Society of London.       ,1855,London,English,v.9 (1855),Page 72
The Journal of the Linnean Society. Botany.  ,Linnean Society of London.       ,1871,London,English,v.11 (1871),Page 83
The Journal of the Linnean Society of London. Zoology  ,Linnean Society of London.       ,1868,London,English,v.9=no.33-40 (1868),Page 349
Journal of the Royal Horticultural Society of London.  ,Horticultural Society of London.       ,1901-1902,London,English,new ser.:v.26 (1901-1902),Page 533
Life of Alexander von Humboldt compiled in commemoration of the centenary of his birth  ,"AvÃ©-Lallemant, Robert,      1812 -1884",1873,London,English,2,Page 32
"The living plant in leaf, flower, and fruit : a popular book on botany for the general reader  ","Step, Edward,      1855 -1931",1904,London,English,,Page 431
"The London, Edinburgh and Dublin philosophical magazine and journal of science.  ",,1856,London,English,ser.4:v.12 (1856:July-Dec.),Page 58
A manual of botany.   ,"Green, J. Reynolds     (Joseph Reynolds), 1848 -1914",1895,London,English,,
"A manual of botany: being an introduction to the study of the structure, physiology, and classification of plants.  ","Balfour, John Hutton,      1808 -1884",1851,London,English,,Page 413
"A manual of botany including the structure, classification, properties, uses, and functions of plants.  ","Bentley, Robert,      1821 -1893",1887,London,English,,Page 557
"A manual of botany: including the structure, functions, classification, properties and uses of plants.   ","Bentley, Robert,      1821 -1893",1861,London,English,,Page 554
"A narrative of travels on the Amazon and Rio Negro : with an account of the native tribes, and observations on the climate, geology, and natural history of the Amazon Valley  ","Wallace, Alfred Russel,      1823 -1913",1889,London,English,,Page 303
"A narrative of travels on the Amazon and Rio Negro : with an account of the native tribes, and observations of the climate, geology, and natural history of the Amazon Valley  ","Wallace, Alfred Russel,      1823 -1913",1889,London,English,,Page 303
The natural history of plants.  ,"Baillon, H.     (Henri), 1827 -1895",1871,London,English,v.6 (1880),Page 331
"The natural history of plants : their forms, growth, reproduction, and distribution  ","Kerner von Marilaun, Anton,      1831 -1898",1895,London,Undetermined,,Page 782
"The natural history of plants, their forms, growth, reproduction, and distribution  ","Kerner von Marilaun, Anton,      1831 -1898",1902,London,English,v.2 (1902),
"The natural history of plants, their forms, growth, reproduction, and distribution: from the German of Anton Kerner von Marilaun ...  Tr. and ed. by F.W. Eliver ... with the assistance of Marian Busk ... and Mary F. Ewart.  ","Kerner von Marilaun, Anton,      1831 -1898",1894,London,English,2,Page 782
"The natural history of plants, their forms, growth reproduction, and distribution; from the German of Anton Kerner von Marilaun.  ","Kerner von Marilaun, Anton,      1831 -1898",1895,London,English,,
"The natural history of plants; their forms, growth, reproduction, and distribution.  ","Kerner von Marilaun, Anton,      1831 -1898",1894,London,English,v.2 (1895),Page 782
"A natural system of botany; or, A systematic view of the organisation, natural affinities, and geographical distribution of the whole vegetable kingdom  ","Lindley, John,      1799 -1865",1836,London,English,,Page 47
"A natural system of botany, or, A systematic view of the organization, natural affinities, and geographical distribution, of the whole vegetable kingdom : together with the uses of the most important species in medicine, the arts, and rural or domestic economy  ","Lindley, John,      1799 -1865",1836,London,English,,Page 47
"The Naturalist : illustrative of the animal, vegetable, and mineral kingdoms  ","Maund, B.     (Benjamin), 1790 -1863",1838,London,English,v.3 (1838),Page 490
"Naturalist (Maund, Hall & Wood.)  ",,1838,London,,3 (1838),Page 490
"The naturalist on the Amazons : a record of adventures, habits of animals, sketches of Brazilian and Indian life, and aspects of nature under the equator during eleven years of travel / by Henry Walter Bates.  ","Bates, Henry Walter,      1825 -1892",1905,London,English,,Page 45
The naturalist on the River Amazon  ,"Bates, Henry Walter,      1825 -1892",1943,London,English,,
The naturalist on the River Amazons.    ,"Bates, Henry Walter,      1825 -1892",1910,London,English,,
The naturalist on the River Amazons  ,"Bates, Henry Walter,      1825 -1892",1910,London,English,,Page 33
The naturalist on the River Amazons.  ,"Bates, Henry Walter,      1825 -1892",1914,London,English,,
"The naturalist on the River Amazons. A record of adventures, habits of animals, sketches of Brazilian and Indian life, and aspects of nature under the equator, during eleven years of travel.  ","Bates, Henry Walter,      1825 -1892",1892,London,English,,Page 33
"The naturalist on the River Amazons : a record of adventures, habits of animals, sketches of Brazilian and Indian life, and aspects of nature under the Equator, during eleven years of travel  ","Bates, Henry Walter,      1825 -1892",1879,London,English,,Page 29
"Naturalist on the River Amazons : a record of adventures, habits of animals, sketches of Brazilian and Indian life, and aspects of nature under the equator, during eleven years of travel  ","Bates, Henry Walter,      1825 -1892",1875,London,English,,Page 29
"The naturalist on the River Amazons, A record of adventures, habits of animals, sketches of Brazilian and Indian life and aspects of nature under the Equator during eleven years of travel.  ","Bates, Henry Walter,      1825 -1892",1863,London,English,1,Page 135
"The naturalist on the river Amazons. A record of adventures, habits of animals, sketches of Brazilian and Indian life, and aspects of nature under the Equator, during eleven years of travel. With a memoir of the author  ","Bates, Henry Walter,      1825 -1892",1892,London,English,,Page 33
Nature.  ,"Lockyer, Norman,   Sir,   1836 -1920",1884,London,English,v.31=no.784-809 (1884-1885),Page 155
"Notes of a botanist on the Amazon & Andes; being records of travel on the Amazon and its tributaries, the Trombetas, Rio Negro, UaupÃ¢es, Casiquiari, Pacimoni, Huallaga and Pastasa; as also to the cataracts of the Orinoco, along the eastern side of the Andes of Peru and Ecuador, and the shores of the Pacific, during the years 1849-1864  ","Wallace, Alfred Russel,      1823 -1913",1908,London,English,v.1 (1908),Page 16
"Notes of a botanist on the Amazon & Andes : being records of travel on the Amazon and its tributaries, the Trombetas, Rio Negro, UaupÃ©s, Casiquiari, Pacimoni, Huallaga, and Pastasa; as also to the cataracts of the Orinoco, along the eastern side of the Andes of Peru and Ecuador, and the shores of the Pacific, during the years 1849-1864  ","Wallace, Alfred Russel,      1823 -1913",1908,London,English,v. 2 (1908),Page 357
Official guide to the museums of economic botany.   No. 1 Dicotyledons.,"Royal Botanic Gardens, Kew.       ",1907,London,English,no. 1,Page 105
On food. Being lectures delivered at the South Kensington Museum  ,"Lankester, Edwin,      1814 -1874",1861,London,English,,Page 112
"Paxton's magazine of botany, and register of flowering plants  ","Paxton, Joseph,   Sir,   1803 -1865",1849,London,English,v.16 (1849),Page 371
"Personal narrative of travels to the equinoctial regions of America, during the years 1799-1804  ","Humboldt, Alexander von,      1769 -1859",1907,London,English,2,Page 368
Personal narrative of travels to the equinoctial regions of the New continent during the years 1799-1804  ,"Humboldt, Alexander von,      1769 -1859",1877,London,English,2,Page 368
Personal narrative of travels to the equinoctial regions of America during the years 1799 - 1804  ,"Humboldt, Alexander von,      1769 -1859",1895,London,English,3,Page 411
"Personal narrative of travels to the equinoctial regions of America, during the year 1799-1804.  ","Humboldt, Alexander von,      1769 -1859",1852,London,English,v.2,Page 368
Peruvian bark a popular account of the introduction of Chinchona cultivation into British India  ,"Markham, Clements R.   Sir,  (Clements Robert), 1830 -1916",1880,London,English,,Page 456
Pharmaceutical journal and transactions.  ,Pharmaceutical Society of Great Britain.       ,1873,London,English,ser.3:v.4 (1873-1874),Page 86
Physiological plant anatomy  ,"Haberlandt, Gottlieb,      1854 -1945",1914,London,English,,Page 416
The Phytologist: a popular botanical miscellany.  ,"Newman, Edward,      1801 -1876",1841,London,English,v.2 (1844-1847),Page 940
Plant geography  ,"Boulger, George Simonds,      1853 -1922",1912,London,English,,Page 111
"Popular economic botany : or, Description of the botanical and commercial characters of the principal articles of vegetable origin, used for food, clothing, tanning, dyeing, building, medicine, perfumery, etc.  ","Archer, Thomas Croxen,      1817 -1885",1853,London,English,,Page 51
"Popular economic botany; or, Description of the botanical and commercial characters of the principal articles of vetegable origin, used for food, clothing, tanning, dyeing, building, medicine, perfumery, etc.  ","Archer, Thomas Croxen,      1817 -1885",1853,London,English,,Page 51
"Popular geography of plants; or, A botanical excursion round the world  ","Daubeny, Charles,      1795 -1867",1855,London,English,,Page 294
Popular Science Review.  ,,1875,London,English,v.14(1895),Page 310
"Practical plant physiology : an introduction to original research for students and teachers of natural science, medicine, agriculture and forestry  ","Detmer, W.     (Wilhelm), 1850 -1930",1898,London,English,,Page 121
Proceedings of the Royal Society of London.  ,Royal Society (Great Britain)       ,1880,London,English,v.31=no.206-211 (1880-1881),Page 60
Report of the Hampstead Scientific Society.  ,Hampstead Scientific Society.       ,1902,London,,1902-1909,Page 21
"Report to the Lords Commissioners of His Majesty's Treasury of the Departmental Committee on Botanical Work and collections at the British Museum and at Kew, dated 11th March, 1901  ",Great Britain.  Committee on Botanical Work.     ,1901,London,English,,Page 61
The sagacity & morality of plants; a sketch of the life & conduct of the vegetable kingdom  ,"Taylor, J. E.     (John Ellor), 1837 -1895",1884,London,English,,Page 134
Science progress.  ,"Burdett, Henry C.,   Sir,   1847 -1920",1896,London,English,v. 5 (1896),Page 75
Strasburger's Text-book of botany.  ,"Strasburger, Eduard,      1844 -1912",1921,London,English,,Page 32
A student's text-book of botany  ,"Vines, Sydney Howard,      1849 -1934",1895,London,English,,Page 631
A students' text-book of botany  ,"Vines, Sydney Howard,      1849 -1934",1895,London,English,,
"[Syllabus of lectures on materia medica and therapeutics, delivered in the University of London]  ","Candolle, Augustin Pyramus de,      1778 -1841",1829,London,English,,
Sylvan sketches  ,"Kent, Elizabeth.       ",1831,London,English,,
"Sylvan sketches; or, A companion to the park and the shrubbery: with illustrations from the works of the poets.  ","Kent, Elizabeth.       ",1831,London,English,,
Tales about plants.  ,"Goodrich, Samuel G.     (Samuel Griswold), 1793 -1860",1865,London,English,,Page 149
The Technologist  ,,1862,London,English,v.3 (1862-1863),
A text-book of botany  ,"Strasburger, Eduard,      1844 -1912",1898,London,English,,Page 73
Textbook of theoretical botany  ,"Ivimey-Cook, W. R.      1901 -1952",1956,London,English,2,Page 2186
Transactions of the Linnean Society of London  ,Linnean Society of London.       ,1841,London,English,v.18 (1841),Page 557
Travels on the Amazon  ,"Wallace, Alfred Russel,      1823 -1913",1911,London,English,,Page 304
Travels on the Amazon.    ,"Wallace, Alfred Russel,      1823 -1913",1911,London,English,,Page 303
Travels on the Amazon and Rio Negro...  ,"Wallace, Alfred Russel,      1823 -1913",1889,London,English,,Page 303
The treasury of botany: a popular dictionary of the vegetable kingdom; with which is incorporated a glossary of botanical terms  ,"Lindley, John,      1799 -1865",1866,London,English,v.1 (1866),Page 138
Useful plants : plants adapted for the food of man described and illustrated.  ,University of Glasgow.  Library.     ,1870,London,English,,Page 121
