Title,Author,Year,Place of publication,Language,Volume,Page
Pharmazeutische Waarenkunde  ,"Berg, O. C.     (Otto Carl), 1815 -1866",1863,Berlin,English,,Page 470
Physiologische Chemie  ,"Hoppe-Seyler, Felix,      1825 -1895",1877,Berlin,German,,Page 77
Sitzungsberichte der Gesellschaft Naturforschender Freunde zu Berlin.  ,Gesellschaft Naturforschender Freunde zu Berlin.       ,1839,Berlin,German,1839-59,Page 76
Der Tropenpflanzer; zeitschrift fuÌˆr tropische landwirtschaft.  ,,1898,Berlin,German,v.2 (1898),Page 72
Verhandlungen des Vereins zur BefoÌˆrderung des Gartenbaues in den KoÌˆniglich Preussischen Staaten.  ,Verein zur BefoÌˆrderung des Gartenbaues in den KoÌˆniglich Preussischen Staaten.       ,1833,Berlin,German,Bd.9 (1833),Page 5
Wochenschrift des Vereines zur BefÃ¶rderung des Gartenbaues in den KÃ¶niglich Preussischen Staaten fÃ¼r GÃ¤rtnerei und Pflanzenkunde.  ,"Koch, Karl Heinrich Emil,      1809 -1879",1867,Berlin,German,v.10 (1867),Page 269
Zeitschrift fÃ¼r die gesammten Naturwissenschaft.  ,Naturwissenschaftlicher Verein fÃ¼r Sachsen und ThÃ¼ringen in Halle.       ,1856,Berlin,German,Bd.7 (1856),Page 200
"Allgemeine naturgeschichte, als Philosophische und HumanitaÌˆtswissenschaft fuÌˆr Naturforscher, Philosophen und das Hoher gebildete Publikum  ","Perty, Maximilian,      1804 -1884",1838,Bern,German,Bd.2 (1838),Page 448
BeitraÌˆge zur Kryptogamenflora der Schweiz.  ,Schweizerische Botanische Gesellschaft.       ,1898,Bern,German,Bd. 3,Page 136
American journal of physiology.  ,American Physiological Society (1887- )       ,1905,Bethesda,English,v.15 (1905-1906),Page 349
"Memorie della Reale Accademia delle Scienze dell'Istituto di Bologna, Classe di Scienze Fisiche  ",R. Accademia delle scienze dell'Istituto di Bologna.       ,1899,Bologna,,ser.5:t.8 (1899-1900),Page 86
Nuovi annali delle scienze naturali.  ,,1842,Bologna,,t.7 (1842),
"Bonner zoologische BeitrÃ¤ge : Herausgeber: Zoologisches Forschungsinstitut und Museum Alexander Koenig, Bonn.  ",Zoologisches Forschungsinstitut und Museum Alexander Koenig.       ,2009,Bonn,German,Jahrg.55-56 (2007-2009),Page 52
Bonner zoologische Monographien  ,,2000,Bonn,German,nr.48 (2000),Page 26
