Words,POS,Frequency
Cherokee,ProperNoun,1
China,ProperNoun,1
Chocolate,ProperNoun,1
Christopher,ProperNoun,1
Citrus,ProperNoun,1
Cnidaria,ProperNoun,1
Cochineal,ProperNoun,1
Coconut,ProperNoun,1
Coffea,ProperNoun,1
Colorado,ProperNoun,1
Columbia,ProperNoun,1
Columbus,ProperNoun,1
Compagnie,ProperNoun,1
Correspondence,ProperNoun,1
Cotton,ProperNoun,1
Creek,ProperNoun,1
Crocodylidae,ProperNoun,1
Crocodylus,ProperNoun,1
Ctenophora,ProperNoun,1
Cubanops,ProperNoun,1
Curlytail,ProperNoun,1
Cuscuta,ProperNoun,1
Cyperaceae,ProperNoun,1
Dentition,ProperNoun,1
District,ProperNoun,1
Dominica,ProperNoun,1
Doxat,ProperNoun,1
Démoret,ProperNoun,1
Ecuador,ProperNoun,1
Engravings,ProperNoun,1
Epitonidae,ProperNoun,1
Eustatius,ProperNoun,1
Falkland,ProperNoun,1
Ferns,ProperNoun,1
Fernão,ProperNoun,1
Field,ProperNoun,1
Fishing,ProperNoun,1
Floras,ProperNoun,1
Foreign,ProperNoun,1
Formulae,ProperNoun,1
George,ProperNoun,1
Georgetown,ProperNoun,1
Georgia,ProperNoun,1
Gray,ProperNoun,1
Great,ProperNoun,1
Guaiac,ProperNoun,1
Guam,ProperNoun,1
Guinea,ProperNoun,1
Hague,ProperNoun,1
Harvard,ProperNoun,1
Hepaticae,ProperNoun,1
Herbarium,ProperNoun,1
Honduras,ProperNoun,1
Hortus,ProperNoun,1
Hot,ProperNoun,1
Iceland,ProperNoun,1
Ichneumonidae,ProperNoun,1
Iguanas,ProperNoun,1
Indes,ProperNoun,1
Insects,ProperNoun,1
Inuit,ProperNoun,1
Isaac,ProperNoun,1
Japan,ProperNoun,1
Jesuits,ProperNoun,1
Juan,ProperNoun,1
Kampong,ProperNoun,1
Kansas,ProperNoun,1
Kitts,ProperNoun,1
L,ProperNoun,1
Labrador,ProperNoun,1
Languages,ProperNoun,1
Lasalle,ProperNoun,1
Lichenes,ProperNoun,1
Lichens,ProperNoun,1
Lizards,ProperNoun,1
Lucia,ProperNoun,1
Macau,ProperNoun,1
Magalhães,ProperNoun,1
Main,ProperNoun,1
Malay,ProperNoun,1
Mammals,ProperNoun,1
Mantidae,ProperNoun,1
Maple,ProperNoun,1
Mar,ProperNoun,1
Marine,ProperNoun,1
Massachusetts,ProperNoun,1
Metallurgy,ProperNoun,1
Miquelon,ProperNoun,1
Monkeys,ProperNoun,1
Narwhal,ProperNoun,1
Nassau,ProperNoun,1
National,ProperNoun,1
Nevis,ProperNoun,1
New,ProperNoun,1
Newton,ProperNoun,1
Nicotiana,ProperNoun,1
Nicotine,ProperNoun,1
Opiliones,ProperNoun,1
Ornithology,ProperNoun,1
Paleobotany,ProperNoun,1
Panama,ProperNoun,1
Parasitic,ProperNoun,1
Park,ProperNoun,1
Peppers,ProperNoun,1
Personal,ProperNoun,1
Peru,ProperNoun,1
Phalangiidae,ProperNoun,1
Pharmacopoeias,ProperNoun,1
Phillippines,ProperNoun,1
Phytopathogenic,ProperNoun,1
Pierre,ProperNoun,1
Pigafetta,ProperNoun,1
Pinckard,ProperNoun,1
Piperaceae,ProperNoun,1
Plank,ProperNoun,1
Plant,ProperNoun,1
Polygala,ProperNoun,1
Program,ProperNoun,1
Provence,ProperNoun,1
Pselaphidae,ProperNoun,1
Pteridophyta,ProperNoun,1
Quechua,ProperNoun,1
Quinine,ProperNoun,1
Ralph,ProperNoun,1
Refraction,ProperNoun,1
Rhipsalis,ProperNoun,1
Rock,ProperNoun,1
Saint-Barthe,ProperNoun,1
Salvador,ProperNoun,1
San,ProperNoun,1
Sass,ProperNoun,1
Sassafras,ProperNoun,1
Schmitt,ProperNoun,1
Schwartz,ProperNoun,1
Scleractinia,ProperNoun,1
Shark,ProperNoun,1
Shells,ProperNoun,1
Sint,ProperNoun,1
Skinks,ProperNoun,1
Skull,ProperNoun,1
Slavery,ProperNoun,1
Smithsonian-Hartford,ProperNoun,1
Snails,ProperNoun,1
Sponges,ProperNoun,1
State,ProperNoun,1
Steamer,ProperNoun,1
Sugar,ProperNoun,1
Sugarcane,ProperNoun,1
Survey,ProperNoun,1
Tides,ProperNoun,1
Travel,ProperNoun,1
Treaties,ProperNoun,1
Trees,ProperNoun,1
Tupi,ProperNoun,1
Turkey,ProperNoun,1
Turtles,ProperNoun,1
