Words,POS,Frequency
East,ProperNoun,3
Enseada,ProperNoun,3
Exposição,ProperNoun,3
Florida,ProperNoun,3
France,ProperNoun,3
French,ProperNoun,3
Frio,ProperNoun,3
Fungi,ProperNoun,3
Germany,ProperNoun,3
Gramineae,ProperNoun,3
Guaraguaoonops,ProperNoun,3
Horticulture,ProperNoun,3
Ichthyology,ProperNoun,3
Insects,ProperNoun,3
Lepidoptera,ProperNoun,3
Léry,ProperNoun,3
Madeira,ProperNoun,3
Marine,ProperNoun,3
Maximilian,ProperNoun,3
Meteorology,ProperNoun,3
Mountain,ProperNoun,3
Musci,ProperNoun,3
Myersiohyla,ProperNoun,3
Neblina,ProperNoun,3
Nomenclature,ProperNoun,3
Northeast,ProperNoun,3
Ocean,ProperNoun,3
Opisthobranchia,ProperNoun,3
Orchidaceae,ProperNoun,3
Palms,ProperNoun,3
Panama,ProperNoun,3
Paquetá,ProperNoun,3
Plateau,ProperNoun,3
Popular,ProperNoun,3
Praia,ProperNoun,3
Pre-Linnean,ProperNoun,3
S,ProperNoun,3
Salvador,ProperNoun,3
Santo,ProperNoun,3
Sciences,ProperNoun,3
Sea,ProperNoun,3
Southeast,ProperNoun,3
Spain,ProperNoun,3
Sul,ProperNoun,3
Taxation,ProperNoun,3
Terminology,ProperNoun,3
Trees,ProperNoun,3
Tyrannoscelio,ProperNoun,3
Uaupés,ProperNoun,3
Useful,ProperNoun,3
Verde,ProperNoun,3
artifact,Noun,3
centenario,Noun,3
clipping,Noun,3
collect,Verb,3
copper,Noun,3
da,Verb,3
del,ProperNoun,3
effect,Noun,3
exhibition,Noun,3
information,Noun,3
island,Noun,3
linguistics,Noun,3
medicinal,Adj,3
migratory,Adj,3
mollusk,Noun,3
name,Noun,3
nursery,Noun,3
nut,Noun,3
pictorial,Adj,3
reef,Noun,3
relation,Noun,3
root,Noun,3
service,Noun,3
tree,Noun,3
uncolor,Verb,3
world,Noun,3
Academic,ProperNoun,2
Africa,ProperNoun,2
Agassiz,ProperNoun,2
Agulhas,ProperNoun,2
Alavesia,ProperNoun,2
Alexandresaurus,ProperNoun,2
Amnesteophis,ProperNoun,2
Aquatic,ProperNoun,2
Arizona,ProperNoun,2
Asuncion,ProperNoun,2
Atlântica,ProperNoun,2
Aves,ProperNoun,2
B,ProperNoun,2
Barbosa,ProperNoun,2
Barro,ProperNoun,2
Basin,ProperNoun,2
Behavior,ProperNoun,2
Belo,ProperNoun,2
Belém,ProperNoun,2
Biology,ProperNoun,2
Bogota,ProperNoun,2
Brachiopoda,ProperNoun,2
Branner-Agassiz,ProperNoun,2
Bromeliaceae,ProperNoun,2
Buccaneers,ProperNoun,2
Campeche,ProperNoun,2
Canary,ProperNoun,2
Caninemys,ProperNoun,2
Caparaonia,ProperNoun,2
Cape,ProperNoun,2
Caquetá,ProperNoun,2
Carnivora,ProperNoun,2
Catarina,ProperNoun,2
Central,ProperNoun,2
Chaco,ProperNoun,2
China,ProperNoun,2
Cnidaria,ProperNoun,2
Colorado,ProperNoun,2
Compositae,ProperNoun,2
Conservation,ProperNoun,2
Costa,ProperNoun,2
Crocodilians,ProperNoun,2
Cuba,ProperNoun,2
Diadumene,ProperNoun,2
Diptera,ProperNoun,2
Dryadonycteris,ProperNoun,2
Emas,ProperNoun,2
Emperor,ProperNoun,2
Engraving,ProperNoun,2
Entomology,ProperNoun,2
Espírito,ProperNoun,2
Ethology,ProperNoun,2
Evans,ProperNoun,2
Falkland,ProperNoun,2
Fisheries,ProperNoun,2
Foreign,ProperNoun,2
Forestry,ProperNoun,2
Francisco,ProperNoun,2
Freshwater,ProperNoun,2
Fruit,ProperNoun,2
GEOGRAFIA,ProperNoun,2
Godin,ProperNoun,2
Grandmaison,ProperNoun,2
Guarapari,ProperNoun,2
Hand,ProperNoun,2
Harry,ProperNoun,2
Hawaii,ProperNoun,2
Heinrich,ProperNoun,2
Hevea,ProperNoun,2
Horizonte,ProperNoun,2
Igua,ProperNoun,2
Inbiomyia,ProperNoun,2
Indonesia,ProperNoun,2
Isabelle,ProperNoun,2
Island,ProperNoun,2
Itacar,ProperNoun,2
Jaguaquara,ProperNoun,2
Jamaica,ProperNoun,2
Japan,ProperNoun,2
Johann,ProperNoun,2
John,ProperNoun,2
La,ProperNoun,2
Lichenes,ProperNoun,2
Magellan,ProperNoun,2
Mammalogy,ProperNoun,2
Marinussaurus,ProperNoun,2
Marsupials,ProperNoun,2
Mata,ProperNoun,2
Melanophryniscus,ProperNoun,2
Mesosaurus,ProperNoun,2
Monodelphis,ProperNoun,2
Negras,ProperNoun,2
Nichols,ProperNoun,2
Nyetnops,ProperNoun,2
Odonais,ProperNoun,2
Orville,ProperNoun,2
Ouro,ProperNoun,2
Paleobotany,ProperNoun,2
Parasitic,ProperNoun,2
Parnaguá,ProperNoun,2
Permian,ProperNoun,2
Ph,ProperNoun,2
Philippines,ProperNoun,2
Physiological,ProperNoun,2
Phytogeography,ProperNoun,2
Pico,ProperNoun,2
Pr,ProperNoun,2
Primates,ProperNoun,2
Pteridophyta,ProperNoun,2
Puerto,ProperNoun,2
Resources,ProperNoun,2
Rhophitulus,ProperNoun,2
Rica,ProperNoun,2
Richard,ProperNoun,2
Rico,ProperNoun,2
Rodents,ProperNoun,2
Rodovia,ProperNoun,2
Roraima,ProperNoun,2
Samuel,ProperNoun,2
Santa,ProperNoun,2
Schultes,ProperNoun,2
Shark,ProperNoun,2
Sharks,ProperNoun,2
Singapore,ProperNoun,2
Sketch,ProperNoun,2
Skull,ProperNoun,2
Strait,ProperNoun,2
Sweden,ProperNoun,2
Syagrus,ProperNoun,2
Thyroptera,ProperNoun,2
Tomography,ProperNoun,2
Transamaznica,ProperNoun,2
Trichogenes,ProperNoun,2
Tucuman,ProperNoun,2
UF,ProperNoun,2
Utah,ProperNoun,2
Venom,ProperNoun,2
W,ProperNoun,2
W.A.,ProperNoun,2
Waldo,ProperNoun,2
Washington,ProperNoun,2
Whitford,ProperNoun,2
Wild,ProperNoun,2
Xenarthra,ProperNoun,2
York,ProperNoun,2
Zoos,ProperNoun,2
antiquity,Noun,2
colony,Noun,2
color,Verb,2
crop,Noun,2
damage,Noun,2
deer,Noun,2
des,ProperNoun,2
dissertation,Noun,2
ecology,Noun,2
education,Noun,2
engraving,Noun,2
french,Adj,2
fruit,Noun,2
fruit-culture,Noun,2
grass,Noun,2
grow,Verb,2
host-parasite,Adj,2
illustration,Noun,2
indian,Adj,2
introduction,Noun,2
literature,Noun,2
monkey,Noun,2
nest,Noun,2
opossum,Noun,2
portrait,Noun,2
relationship,Noun,2
rodent,Noun,2
school,Noun,2
short-tailed,Adj,2
spider,Noun,2
thesis,Noun,2
use,Noun,2
1480-approximately,Adj,1
16th,Adj,1
17th,Adj,1
A,ProperNoun,1
Abbildungen,ProperNoun,1
Acratosaura,ProperNoun,1
Acre,ProperNoun,1
Acupuncture,ProperNoun,1
Adelbert,ProperNoun,1
Adenomera,ProperNoun,1
Afonso,ProperNoun,1
Alfred,ProperNoun,1
Algae,ProperNoun,1
Almas,ProperNoun,1
Aloe,ProperNoun,1
Alto,ProperNoun,1
Amapá,ProperNoun,1
Amazonaspis,ProperNoun,1
Americano,ProperNoun,1
Amnesteophiini,ProperNoun,1
Anari,ProperNoun,1
Andara,ProperNoun,1
Andes,ProperNoun,1
Andrenidae,ProperNoun,1
Antivenins,ProperNoun,1
Anton,ProperNoun,1
Antonio,ProperNoun,1
Anápolis,ProperNoun,1
Apaporis,ProperNoun,1
Apidae,ProperNoun,1
Arabia,ProperNoun,1
Arabian,ProperNoun,1
Araceae,ProperNoun,1
Araguaia,ProperNoun,1
Area,ProperNoun,1
Arhysosage,ProperNoun,1
Arrow,ProperNoun,1
Arthropoda,ProperNoun,1
Ascomycetes,ProperNoun,1
Asia,ProperNoun,1
Austria,ProperNoun,1
BIOLOGIA,ProperNoun,1
Bakairi,ProperNoun,1
Balsam,ProperNoun,1
Baptist,ProperNoun,1
Bariloche,ProperNoun,1
Barrow,ProperNoun,1
Belmonte,ProperNoun,1
Berne,ProperNoun,1
Binder,ProperNoun,1
Biological,ProperNoun,1
Bivalves,ProperNoun,1
Blacks,ProperNoun,1
Blanchet,ProperNoun,1
Bo,ProperNoun,1
Book,ProperNoun,1
Bookplates,ProperNoun,1
BoqueirÜo,ProperNoun,1
Botanic,ProperNoun,1
Botanico,ProperNoun,1
Botswana,ProperNoun,1
Bougainville,ProperNoun,1
Br,ProperNoun,1
Britain,ProperNoun,1
Bufonidae,ProperNoun,1
C,ProperNoun,1
CIENCIA,ProperNoun,1
CLASSIFICAÇÃO,ProperNoun,1
Caatinga,ProperNoun,1
Cabot,ProperNoun,1
Cachoeira,ProperNoun,1
Caldas,ProperNoun,1
Calliopsini,ProperNoun,1
Callonychium,ProperNoun,1
Campo,ProperNoun,1
Canada,ProperNoun,1
Canarias,ProperNoun,1
Carl,ProperNoun,1
Carlos,ProperNoun,1
Carnegie,ProperNoun,1
Cary,ProperNoun,1
Cashew,ProperNoun,1
Castelnau,ProperNoun,1
Castniidae,ProperNoun,1
Catfishes,ProperNoun,1
Cauca,ProperNoun,1
Cave,ProperNoun,1
Cândido,ProperNoun,1
Cephalurgus,ProperNoun,1
Cerro,ProperNoun,1
CeÌ,ProperNoun,1
Charles,ProperNoun,1
Chemistry,ProperNoun,1
Chihuahua,ProperNoun,1
Chiroptera,ProperNoun,1
Chondrichthyes,ProperNoun,1
Científico,ProperNoun,1
Citrus,ProperNoun,1
City,ProperNoun,1
Climatology,ProperNoun,1
Clupeiformes,ProperNoun,1
Coal,ProperNoun,1
Coastal,ProperNoun,1
Coca,ProperNoun,1
Coelioxoides,ProperNoun,1
Collection,ProperNoun,1
Colnia,ProperNoun,1
Coloquios,ProperNoun,1
Colubridae,ProperNoun,1
Columbia,ProperNoun,1
Congreso,ProperNoun,1
Connecticut,ProperNoun,1
Conoderus,ProperNoun,1
Conquest,ProperNoun,1
Contarato,ProperNoun,1
Contas,ProperNoun,1
Cotton,ProperNoun,1
Cryptogamae,ProperNoun,1
Cryptogamia,ProperNoun,1
Cuenca,ProperNoun,1
Cuiabá,ProperNoun,1
Cundimarca,ProperNoun,1
Curaçao,ProperNoun,1
Cyperaceae,ProperNoun,1
Córdoba,ProperNoun,1
C羊doba,ProperNoun,1
Dakota,ProperNoun,1
Dalmanites,ProperNoun,1
Dance,ProperNoun,1
Department,ProperNoun,1
Derby,ProperNoun,1
Diabo,ProperNoun,1
Digitised,ProperNoun,1
Diplomystus,ProperNoun,1
Dipsadinae,ProperNoun,1
Dispersal,ProperNoun,1
Distillation,ProperNoun,1
District,ProperNoun,1
Domenico,ProperNoun,1
Durand,ProperNoun,1
Dutch,ProperNoun,1
Dye,ProperNoun,1
ETNOLOGIA,ProperNoun,1
Echinodermata,ProperNoun,1
Ecology,ProperNoun,1
Egertonodus,ProperNoun,1
Egypt,ProperNoun,1
Elizabeth,ProperNoun,1
Ellimma,ProperNoun,1
Emancipation,ProperNoun,1
England,ProperNoun,1
English,ProperNoun,1
