TitleID,Listed subjects
14838,"Brazil ; Paleontology ; Minas Gerais ; Xenarthra, Fossil ; Xenarthra"
15503,Archaeology ; Amazonas ; Botany ; Museu Botanico do Amazonas ; Periodicals ; Plants ; Brazil ; Paleontology
15660,Gramineae ; Brazil
15734,"Brazil ; Ungulata ; Paleontology ; Minas Gerais ; Ungulates, Fossil"
15736,Mammals ; Brazil
15738,Brazil ; Mammals ; South America
15770,Study and teaching ; Brazil ; Geology
15863,Hawaii ; Pacific coast ; Philippines ; Chile ; Pacific Area ; 1846-49? ; Uncolored ; Graphic media : ; Copper engraving ; Natural history ; Plants ; Brazil
16100,Pictorial works ; Brazil ; Cryptogamae
16109,"Belém ; Mollusks, Fossil ; Paleontology ; Brazil"
16124,"Paleontology ; Brachiopoda, Fossil ; Brazil ; Devonian ; Pará (State)"
16125,"Paleontology ; Brazil ; Bivalves, Fossil ; Cretaceous"
16126,Brazil ; Echinodermata
16129,Brazil ; Coral reefs and islands
16130,"Paleontology ; 1851-1915 ; Brazil ; Derby, Orville A ; (Orville Adelbert),"
16131,"Belém ; Brazil ; Devonian ; Brachiopoda, Fossil ; Mollusks, Fossil ; Paleontology"
16132,Brazil ; Coral reefs and islands
16139,Brazil ; Coral reefs and islands
16406,Economic conditions ; Ethnology ; Description and travel ; Brazil ; Mines and mineral resources ; Indians of South America
17162,Description and travel ; Indians of South America ; Natural history ; Amazon River Valley ; Brazil
18350,Brazil ; Agriculture ; Commerce ; History ; Bahia (Brazil : State) ; Bahia (State)
19348,Brazil ; Description and travel ; (1913-1914) ; Zoology ; Roosevelt-Rondon Scientific Expedition ; Roosevelt River (Brazil)
19802,Brazil ; Opisthobranchia ; Scientific Expeditions
21335,Amazon River Valley ; Natural history ; Brazil ; Description and travel
21506,"Zoology ; United States ; Antilles, Lesser ; Guyana ; Description and travel ; Pernambuco (Brazil) ; Taxidermy"
22390,West Indies ; Guyana ; Taxidermy ; Description and travel ; Natural history ; Pernambuco (Brazil : State)
23300,(1899) ; Brazil ; Opisthobranchia ; Branner-Agassiz Expedition to Brazil ; Mollusks
25708,Brazil ; Natural history ; Description and travel ; Insects ; Meteorology
27116,Amazon River ; Description and travel ; Peru ; Brazil ; Scientific Expeditions
27558,Brazil ; Rubber ; East Indies
27958,Cotton growing ; Brazil
28957,Amazon River Valley ; Indians of South America ; Brazil ; Natural history ; Languages ; Description and travel
29092,"United States ; Zoology ; Description and travel ; Antilles, Lesser ; Pernambuco (Brazil) ; Guyana ; Taxidermy"
29916,"United States ; Brazil ; Rio de Janeiro, Brazil) ; Exposição do centenario do Brasil ; Forests and forestry ; (1922-1923 : ; Forestry schools and education"
30074,"Zoology ; Taxidermy ; Guyana ; Antilles, Lesser ; United States ; Pernambuco (Brazil) ; Description and travel"
30076,"New York (State) ; Pernambuco (Brazil) ; Antilles, Lesser ; Description and travel ; Guyana ; Taxidermy ; Zoology"
32420,Brazil ; Mato Grosso (Brazil : State) ; Mato Grosso (State) ; Indians of South America ; Xingu River (Brazil) ; Description and travel ; Scientific Expeditions
32974,Zoology ; Roosevelt-Rondon Scientific Expedition ; Roosevelt River (Brazil) ; Brazil ; Description and travel
33139,Brazil ; Guyana ; Zoology ; South America ; Description and travel
34316,Forests and forestry ; Brazil
34352,"Forest service ; Rio de Janeiro ; 1922-1923 ; United States ; Exposição do centenario do Brasil, ; Forestry schools and education ; Forests and forestry ; Brazil"
35167,"d. 1739 ; Peru ; Amazon River ; Scientific Expeditions ; Cuenca (Ecuador) ; Description and travel ; Seniergues, Jean, ; Godin des Odonais, Isabelle de Grandmaison, ; b. 1728? ; Brazil"
36485,Amazon River ; Indians of South America ; Brazil ; Amazonas (Brazil) ; Natural history ; Amazon River Valley
36498,"Roosevelt, Theodore, ; Mato Grosso (Brazil : State) ; Brazil ; Description and travel ; Mato Grosso (State) ; 1858-1919 ; Hunting"
36904,Agriculture ; Brazil ; Economic conditions
37121,Natural history ; Amazon River Valley ; Bookplates (Provenance) ; Brazil ; Description and travel
37335,Amazon River Valley ; Natural history ; Indians of South America ; Brazil
37958,Brazil ; Zoology ; Fishes
39157,"Cuiabá (Mato Grosso, Brazil) ; Description and travel ; South America ; Natural history ; Brazil"
39864,"Agriculture ; Veterinary medicine ; Natural history ; Societies, etc ; Brazil"
40095,Palmae ; Brazil
41510,Plants ; Brazil
42120,Brazil ; Timber
42217,Plants ; São Paulo ; Brazil
42855,"Botany, Medical ; Brazil"
44358,Forests and forestry ; Brazil ; Description and travel ; Paraná (Brazil : State) ; Parana
44968,Plants ; Brazil ; Periodicals
44979,Periodicals ; Natural history ; Brazil ; Ethnology
45120,Science ; Periodicals ; Brazil
45474,Plants ; Brazil
46248,Brazil ; Amazon River Valley ; Indians of South America ; Natural history
46376,Malacostraca ; Brazil ; Crustacea
46377,Brazil ; Crustacea
46434,United States ; Québec (Province) ; Description and travel ; Brazil ; Zoology ; South America
46446,"Mollusks, Fossil ; Pará ; Brazil ; Paleontology ; Devonian"
47139,"1782-1865 ; Waterton, Charles, ; South America ; Zoology ; United States ; Description and travel ; Québec (Province) ; Brazil"
48512,Brazil ; Zoology
48544,Brazil ; Early works to 1800 ; Medicine ; Natural history ; Indians of South America
48609,"Archaeology ; Indians of South America ; Animals, Fossil ; Travel ; History ; Castelnau, Francis, ; Bolivia ; Natural history ; Peru ; Plants ; South America ; 19th century ; Animals ; Description and travel ; Scientific Expeditions ; Brazil ; comte de, ;"
49045,Crustacea ; Brazil
49345,Brazil ; Fishes
49510,"Blanchet, Jacques Samuel, ; Natural history collections ; Mollusks ; Brazil ; 1807-1875 ; Bahia (State)"
49607,United States ; South America ; Zoology ; Brazil ; Description and travel ; Québec (Province)
49734,Brazil ; Birds
49941,Pictorial works ; Brazil ; Mexico ; Birds
50211,"59.56(81)  [v. 2] ; 59.57,52C(81)  [v. 3] ; 59.82(81)  [v. 1] ; Zoology ; Museu Paulista ; Catalogs and collections ; Brazil ; Catalogs ; 59.19(81)"
50257,Sugar growing ; Gold mines and mining ; Imprint 1711 ; Tobacco ; Brazil ; CPJCB ; Economic conditions
51051,"Agriculture ; Botany, Economic ; Brazil"
51052,"Agriculture ; Botany, Economic ; Dye plants ; Brazil"
51078,Botany ; Brazil
51092,"1732-1815 ; 1704-1776 ; Linné, Carl von, ; Plants ; Brazil ; Correspondence ; Portugal ; Vandelli, Domenico, ; Classification ; 1707-1778 ; CPJCB ; Haen, Anton de,"
51375,Tobacco ; CPJCB ; Mines and mineral resources ; Gunpowder ; Imprint 1803 ; Industrial use ; Brazil ; Saltpeter
51486,Brazil ; Natural history ; Pictorial works
51555,"Portugal ; History ; Puritans ; Tobacco ; John V, 1706-1750 ; Brazil ; To 1822"
51761,CPJCB ; Taxation ; Brazil ; Tobacco ; Imprint 1757 ; Contarato do tabaco do Rio de Janeiro
51762,Imprint 1775 ; Commerce ; Portugal ; Tobacco ; Brazil ; CPJCB
51763,Brazil ; Imprint 1808 ; Tobacco ; Taxation ; Colonies ; South America ; Portugal ; Bahia (State) ; CPJCB
51808,Brazil ; Law and legislation ; Imprint 1753 ; Tobacco ; CPJCB
51809,Brazil ; Imprint 1751 ; CPJCB ; Sugar laws and legislation ; Law and legislation ; Tobacco
51811,Sugar laws and legislation ; CPJCB ; Imprint 1751 ; Law and legislation ; Tobacco ; Brazil
51814,Imprint 1753 ; Law ; Law and legislation ; Tobacco ; Brazil ; CPJCB
51815,Portugal ; Tobacco ; Taxation ; Imprint 1741 ; Tobacco industry ; Brazil ; CPJCB
51817,Brazil ; Law and legislation ; Imprint 1751 ; CPJCB ; Sugar laws and legislation ; Tobacco
51818,Imprint 1751 ; Brazil ; Law and legislation ; Tobacco
51899,Instruction and study ; Imprint 1819 ; Natural history ; Botanical gardens ; Brazil ; CPJCB
52297,"Broadsides, etc ; Colonies ; Brazil ; Portugal ; South America ; CPJCB ; Imprint 1809 ; Lisbon ; Plant introduction"
53512,Brazil ; Botany
53811,Peru ; Brazil ; Butterflies ; Latin America ; Lepidoptera ; Moths ; South America
54789,"Zoology ; Guyana ; United States ; Pernambuco (Brazil) ; Taxidermy ; Guiana ; Antilles, Lesser ; Description and travel"
54893,Roosevelt-Rondon Scientific Expedition ; Description and travel ; Brazil ; Zoology ; Roosevelt River (Brazil) ; (1913-1914)
