TitleID,Listed subjects
5262,"Indians of South America ; Antiquities ; Catalogs ; Indian pottery ; Peru ; Pottery, Prehistoric ; South America ; Catalogs and collections ; Field Museum of Natural History"
5292,Indians of South America ; Antiquities ; Nazca culture ; Captain Marshall Field Archaeological Expeditions ; Nazca River Valley ; Peru
5299,PALEONTOLOGIA ; Paleontology ; South America
5347,Diaquita Indians ; Indians of South America ; Antiquities ; Argentina ; Pottery ; Tucumán (Province) ; Tucumán (Argentina : Province)
5435,Brazil nut ; Lecythidaceae ; South America ; Trees
5441,"1793-1859 ; Botany ; Description and travel ; 1732-1808 ; 1771-1816 ; Politics and government ; South America ; Codazzi, Agustín, ; Colombia ; Caldas, Francisco José de, ; Mutis, José Celestino,"
5578,"Latin America ; South America ; Mammals ; Hershkovitz, Philip ; Mammalia (sistematica)"
5595,Periodicals ; Natural history ; South America ; Argentina
5597,South America ; Argentina ; Natural history ; Periodicals
5769,South America ; Amphibians ; Classification
6148,Tropical plants ; Plants ; South America
6519,Antiquities ; Pottery ; Indians of South America ; Excavations (Archaeology) ; Ecuador
6701,South America ; Compositae
6760,"Description and travel ; Voyages around the world ; Cook, James, ; Oceania ; 1728-1779 ; Biography ; Officers ; Journeys ; Pacific Coast (South America) ; Royal Navy ; Great Britain ; Discovery and exploration"
6853,Pacific coast ; Mollusks ; Pacific Coast (South America) ; Panama ; Bivalvia
6951,Animal behaviour ; Ecology ; zeevogels ; Central America ; habits ; Noord-Amerika ; Pelecaniformes ; diergedrag ; Pelikanen ; Aves ; 59.82(7) ; North America ; Pelicans ; Procellariiformes ; Centraal-Amerika ; Stormvogelachtigen ; Birds ; Petrels ; gewoon
7019,"Books and reading ; Hunting ; Conservation ; Description and travel ; Birds ; Zoology ; South America ; Southwest, New"
7093,Discoveries in geography ; Spain ; Discovery and exploration ; Colonies ; America ; Indians ; Natural history ; Shipwrecks ; Central America ; Early accounts to 1600 ; West Indies
7095,"Latin America ; Woodcut ; Herbals ; 1576 ; Botany, Medical ; Graphic media : ; Materia medica, Vegetable ; India ; Uncolored ; Early works to 1800"
7213,"Early works to 1800 ; 1593 ; Latin America ; Uncolored ; Materia medica, Vegetable ; Botany, Medical ; Graphic media : ; Herbals ; Woodcut"
7509,North America ; Central America ; Mexico ; Birds
8045,Early accounts to 1600 ; West Indies ; America ; Pre-Linnean works ; Discovery and exploration ; Spanish ; Central America ; Natural history
8048,"North America ; Herbs ; Pre-Linnean works ; Botany, Medical ; Herbals ; Therapeutic use ; South America ; Botany"
8234,Fishing ; Central America ; Fishes ; North America ; Identification
8436,Identification ; Anatidae ; South America ; Steamer ducks
8482,Mexico ; Toads ; Classification ; Bufonidae ; Central America
8572,Diptera ; South America ; Robber flies ; Flies
8756,"Botany, Medical ; Latin America ; Materia medica"
9013,"Botany, Medical ; Plants ; Indians of South America ; Colombia ; Medicine"
9044,South America ; Plants ; West Indies
9310,South America ; Phytogeography ; Plants
9448,South America ; Empididae ; Diptera
9463,South America ; Thétis (Frigate) ; Voyages around the world ; Description and travel ; Scientific Expeditions ; L'Espérance (Corvette)
10141,Latin America ; Staphylinidae ; Classification ; Beetles
10265,Latin America ; Bivalves ; Mollusks
10268,South America ; Mollusks
10368,Bibliography ; Spain ; Portugal ; Mollusks ; Philippines ; South America
10597,South America ; Moths
