TitleID,Listed subjects
3461,"Paleontology ; Mammals, Fossil ; Catamarca (Province) ; Tertiary ; Argentina"
3483,Classification ; South America ; Aspredinidae ; Ecuador ; Fishes ; Hoplomyzontini
3529,Rhagomys longilingua ; Classification ; Rhagomys rufescens ; Muridae ; Peru
3551,Stockholm ; Mammals ; Naturhistoriska riksmuseet (Sweden) ; Brazil ; Catalogs ; Bolivia ; Catalogs and collections ; Sweden
3557,Peru ; Birds
3572,"Peru ; Paleontology ; Turtles, Fossil"
3578,"Excavations, Archaeology ; Juli (Peru) ; Juli ; Peru ; Antiquities"
3682,Zoology ; Guiana
3699,Zoology ; Suriname
3763,Penelope montagnii ; Peru ; Birds
3781,Peru ; Snails ; Mollusks
3791,Peru ; Mollusks
3800,Bolivia ; Beetles ; Xenopteryx setosus
3811,Crypturellus obsoletus ; Birds ; Peru
3813,Peru ; Botany
3823,Birds ; Venezuela ; Honey-creepers
3842,Chile ; Mammals
3843,Venezuela ; Botany
3848,Serpents ; Peru
3856,Peru ; Botany ; Captain Marshall Field expeditions ; Mosses ; Phanerogams
4055,Fungi ; Tierra del Fuego (Argentina and Chile)
4071,Fungi ; Patagonia (Argentina and Chile)
4405,Plants ; Colombia ; West Indies
4411,Argentina ; Brazil ; Description and travel
4499,West Indies ; Gutta-percha ; Rubber ; Guyana
4686,South America ; Fishes ; Bibliography ; Guyana
5014,Pipa (Amphibians) ; Surinam toad
5028,Costa Rica ; Peru ; Fish ; Nicaragua ; Amphibians ; Reptiles
5131,Classification ; Reptiles ; Colombia ; Amphisbaena ; America ; Amphisbaena medemi
5154,Peru ; Trachelyichthys exilis ; Fishes ; Trachelyichthys decaradiatus ; Classification
5169,"Mammals, Fossil ; Argentina ; Chile ; Paleontology ; Phylogeny ; Paleogene"
5180,Peru ; Pottery dating ; Archaeology ; Indians of South America ; Pottery
5189,"Argentina ; Antiquities ; Santa Maria Valley, Argentine Republic ; Santa Maria Valley ; Indians of South America ; Pottery ; Urns"
5222,Archaeology ; Tumatumani Site (Peru) ; Peru
5225,Lara ; Tertiary ; Paleontology ; Proticia venezuelensis ; Venezuela
5226,Paleontology ; Captain Marshall Field paleontological expeditions ; Patagonia (Argentina and Chile) ; 1922-24
5228,"Litopterna ; Chile ; Miocene ; Paleontology ; Notoungulata ; Ungulates, Fossil"
5260,"Peru ; Antiquities ; Excavations (Archaeology) ; Indian pottery ; Indians of South America ; Cuzco Region (Peru) ; Cuzco Region ; Pottery, Prehistoric"
5262,"Indians of South America ; Antiquities ; Catalogs ; Indian pottery ; Peru ; Pottery, Prehistoric ; South America ; Catalogs and collections ; Field Museum of Natural History"
5264,"Cenozoic ; Chile ; Mammals, Fossil ; Notoungulata ; Paleontology"
5292,Indians of South America ; Antiquities ; Nazca culture ; Captain Marshall Field Archaeological Expeditions ; Nazca River Valley ; Peru
5294,Paleontology ; Argyrohippus ; 1922-24 ; Captain Marshall Field paleontological expedition ; Patagonia (Argentina and Chile)
5341,"Chubut ; Mammals, Fossil ; Cenozoic ; Paleontology ; Notoungulata ; Argentina ; Chile"
5347,Diaquita Indians ; Indians of South America ; Antiquities ; Argentina ; Pottery ; Tucumán (Province) ; Tucumán (Argentina : Province)
5385,Plants ; Colombia ; Cryptogamia
5427,Argentina ; Paleontology ; Thylacosimilus ; Pliocene
5430,Paraguayan war ; 1865-1870 ; Description and travel ; Paraguay
5441,"1793-1859 ; Botany ; Description and travel ; 1732-1808 ; 1771-1816 ; Politics and government ; South America ; Codazzi, Agustín, ; Colombia ; Caldas, Francisco José de, ; Mutis, José Celestino,"
5485,Reptiles ; Colombia
5574,Mammals ; Peru
5575,Venezuela ; Mammals
5577,Birds ; Peru
5579,Captain Marshall Field expeditions ; Birds ; Chile
5580,Venezuela ; Game and game-birds
5595,Periodicals ; Natural history ; South America ; Argentina
5597,South America ; Argentina ; Natural history ; Periodicals
5634,Botany ; Peru
5936,Periodicals ; Forests and forestry ; Chile
6519,Antiquities ; Pottery ; Indians of South America ; Excavations (Archaeology) ; Ecuador
6576,"Viru Valley, Peru ; Pottery ; Viru Valley ; Antiquities ; Mounds ; Peru"
6763,Great Britain ; Fishes ; Ichthyology ; Perch ; Guyana
7160,"Antiquities ; La Plata Island, Ecuador"
7178,Chile ; Plants ; Atacama Desert (Chile) ; Botany ; Natural history ; Description and travel ; Atacama Desert
7185,Captain Marshall Field Archaeological Expeditions ; Peru ; Pottery ; Antiquities
7205,Botany ; Peru ; Andes
7937,Frogs ; Amazon River Region ; Identification ; Anura ; Iquitos Region ; Rain forest animals ; Peru
7951,Eleutherodactylus ; Ecuador ; Frogs
8052,"Early works to 1800 ; Medicinal plants ; 1715 ; Botany ; Botany, Medical ; Herbals ; Peru ; Pre-Linnean works ; England"
8163,Tierra del Fuego (Argentina and Chile) ; Falkland Islands ; Insects ; South Georgia (Island)
8333,Plants ; Peru ; Cuzco (Dept.)
8334,"Argentina ; Plants ; Poisonous plants ; Plants, Useful ; Medicinal plants"
8337,Uruguay ; Plants ; Floras
8467,Anura ; Classification ; Peru ; Colostethus ; Frogs ; Dendrobatidae ; Andes
8483,Gastrotheca ; Hylidae ; Peru ; Cordillera Oriental ; Anura ; Classification ; Frogs
8562,Catalogs and collections ; Diptera ; Chile ; Insects
8586,Buenos Aires (Province) ; Plants ; Argentina
8591,Plants ; Coche ; Venezuela ; Maragarita Island
8592,Plants ; Chile
8593,Chile ; Andes ; Plants
8603,Bolivia ; Plants
8796,Argentina ; Natural history ; Periodicals
8799,Argentina ; Beetles
8816,Chile ; Insects
9013,"Botany, Medical ; Plants ; Indians of South America ; Colombia ; Medicine"
9016,Plants ; Patagonia (Argentina and Chile)
9017,Plants ; Chile
9018,Floras ; Ecuador ; Plants
9021,Tierra del Fuego (Argentina and Chile) ; Plants
9022,Nahuel Huapi ; Argentina ; Plants
9023,Mendoza (Province) ; Argentina ; Plants
9024,Plants ; Argentina
9032,Chile ; Atacama (Province) ; Plants
9040,"Patagonia (Argentina and Chile) ; Plants ; Magellan, Strait of (Chile and Argentina)"
9041,Cayenne ; French Guiana ; Plants
9042,Ecuador ; Piperaceae ; Plants ; Anthurium ; Passiflora
9046,Vanilla argentina ; Filices ; Calyceraceae ; Plants ; Argentina
9295,Chile ; Diptera ; Entomology
9299,Venezuela ; Diptera
9300,Argentina ; Plants
9301,Buenos Aires (Province) ; Alien plants ; Patagonia (Argentina and Chile) ; Argentina
9302,Argentina ; Tandil ; Plants
9303,Classification ; Argentina ; Floras ; Plants ; Buenos Aires (Province)
9402,Loja (Province) ; Lepidoptera ; Ecuador ; Equador
9453,Buenos Aires ; Argentina ; Beetles ; Staphylinidae
9679,Locusts ; Argentina
9681,Locusts ; Argentina
9711,Plants ; Uruguay ; Montevideo Region
10052,Mollusks ; Venezuela
10276,Invertebrates ; Argentina ; Mollusks
10337,Mollusks ; Patagonia (Argentina and Chile)
10361,Diptera ; Argentina
10393,Science ; Ecuador ; Periodicals ; Humanities
10517,Patagonia (Argentina and Chile) ; Crustacea
10655,British Guiana ; Gold mines and mining ; Geology ; Petrology
11096,Chile ; Clams
11247,Argentina ; Natural history ; Periodicals ; Antiquities
11316,Freshwater animals ; Naididae ; Paraguay
11333,Chile ; Colonies ; South America ; Colombia ; Peru ; Spain
11663,Mollusks ; Ecuador
11832,Venezuela ; Diptera ; Insects
12189,Argentina ; Protozoa
12461,Poisonous snakes ; Toxicology ; Colombia ; Venom ; Cauca Valley
12486,Birds ; Paleontology ; Botany ; Zoology ; Description and travel ; Patagonia (Argentina and Chile) ; Scientific Expeditions ; Patagonia
12494,Chile ; Hemiptera ; Identification ; Insects
12626,Chile ; Insects
12981,Chile ; Mollusks
13112,Mollusks ; French Guiana
13120,Mollusks ; Argentina
13398,Paraguay ; Birds
13412,Birds ; Venezuela
13416,Argentina ; Birds
13554,Zoology ; Animal behavior ; Argentina
13834,Paleontology ; Natural history ; Periodicals ; Argentina
13836,Chile ; Reptiles ; Crustacea ; Fishes
13904,"Mesozoic ; Paleontology ; Chile ; Mollusks, Fossil"
13961,Patagonia (Argentina and Chile) ; Paleontology ; Geology
14050,Argentina ; 59.19(82) ; Zoology ; Animal behavior
14071,Devonian ; Argentina ; Paleontology
14183,Peru ; Birds
14257,Bees ; Argentina ; Hymenoptera
14373,Periodicals ; Natural history ; Latin America ; Chile
14386,Guiana ; Birds
14390,Chile ; Birds
14578,Argentina ; Diptera
14584,Geographical distribution ; Birds ; Catalogs and collections ; Paraguay ; Gazetteers
14589,Chile ; Gazetteers ; Geographical distribution ; Birds ; Catalogs and collections
14590,Suriname ; Geographical distribution ; Guyana ; Birds ; French Guiana ; Guiana
14591,Geographical distribution ; Birds ; Catalogs and collections ; Bolivia ; Gazetteers
14626,Birds ; Geographical distribution ; Ecuador ; Gazetteers
14627,Gazetteers ; Geographical distribution ; Argentina ; Catalogs and collections ; Birds
14632,Birds ; Uruguay ; Geographical distribution ; Catalogs and collections ; Gazetteers
14633,Gazetteers ; Birds ; Venezuela ; Geographical distribution ; Catalogs and collections
14634,Gazetteers ; Birds ; Peru ; Geographical distribution ; Catalogs and collections
