Words,POS,Frequency
Mexican,ProperNoun,5
Michoacan,ProperNoun,5
National,ProperNoun,5
Oceanography,ProperNoun,5
Ornithologists,ProperNoun,5
Presidential,ProperNoun,5
Rare,ProperNoun,5
Rubber,ProperNoun,5
Russia,ProperNoun,5
Ship,ProperNoun,5
Siberia,ProperNoun,5
Trinidad,ProperNoun,5
Veracruz-Llave,ProperNoun,5
York,ProperNoun,5
behavior,Noun,5
condition,Noun,5
conservation,Noun,5
etc,Foreign,5
manuscript,Noun,5
price,Noun,5
voyage,Noun,5
Ariz,ProperNoun,4
Biological,ProperNoun,4
Cacao,ProperNoun,4
Cactaceae,ProperNoun,4
Citlaltépetl,ProperNoun,4
Columbia,ProperNoun,4
Compositae,ProperNoun,4
Conservación,ProperNoun,4
Conservation,ProperNoun,4
Diplocentrus,ProperNoun,4
Economics,ProperNoun,4
Edward,ProperNoun,4
Germany,ProperNoun,4
Guadalajara,ProperNoun,4
Harvard,ProperNoun,4
Identification,ProperNoun,4
Insects,ProperNoun,4
Iztaccíhuatl,ProperNoun,4
Jean,ProperNoun,4
Jesuits,ProperNoun,4
Lago,ProperNoun,4
Lake,ProperNoun,4
Los,ProperNoun,4
Louis,ProperNoun,4
M,ProperNoun,4
Mammalogists,ProperNoun,4
María,ProperNoun,4
Parry,ProperNoun,4
Potos,ProperNoun,4
Pre-Linnean,ProperNoun,4
R,ProperNoun,4
Resource,ProperNoun,4
Resources,ProperNoun,4
Salvador,ProperNoun,4
Samuel,ProperNoun,4
Sierra,ProperNoun,4
Spain,ProperNoun,4
Tabasco,ProperNoun,4
Tehuacán,ProperNoun,4
Tlacotalpán,ProperNoun,4
Tobacco,ProperNoun,4
Torrey,ProperNoun,4
Tres,ProperNoun,4
Universal,ProperNoun,4
University,ProperNoun,4
W,ProperNoun,4
artifact,Noun,4
bat,Noun,4
boundary,Noun,4
clipping,Noun,4
count,Verb,4
diary,Noun,4
distribution,Noun,4
early,Adv,4
economic,Adj,4
expedition,Noun,4
fishery,Noun,4
industry,Noun,4
information,Noun,4
literature,Noun,4
mission,Noun,4
rare,Adj,4
scorpion,Noun,4
Acapulco,ProperNoun,3
Ajusco,ProperNoun,3
Amoles,ProperNoun,3
Annelida,ProperNoun,3
Asa,ProperNoun,3
Aztecs,ProperNoun,3
Bah誕,ProperNoun,3
Barca,ProperNoun,3
Berlandier,ProperNoun,3
Berlin,ProperNoun,3
Bight,ProperNoun,3
CSAIP,ProperNoun,3
Canal,ProperNoun,3
Carolina,ProperNoun,3
Cerro,ProperNoun,3
Chajul,ProperNoun,3
Chico,ProperNoun,3
Clipperton,ProperNoun,3
Coahuila,ProperNoun,3
Conquest,ProperNoun,3
Continental,ProperNoun,3
Coronados,ProperNoun,3
Cotton,ProperNoun,3
Crustaceans,ProperNoun,3
Cruz,ProperNoun,3
District,ProperNoun,3
Durango,ProperNoun,3
Entomologists,ProperNoun,3
Estuarine,ProperNoun,3
Francia,ProperNoun,3
Francisco,ProperNoun,3
Frederick,ProperNoun,3
Hancock,ProperNoun,3
Hawaii,ProperNoun,3
Hemsley,ProperNoun,3
Herpatology,ProperNoun,3
Huey,ProperNoun,3
Insect,ProperNoun,3
Jalpan,ProperNoun,3
Jaumave,ProperNoun,3
Juniperus,ProperNoun,3
Kolotl,ProperNoun,3
L,ProperNoun,3
Louisiana,ProperNoun,3
Manzanillo,ProperNoun,3
Maps,ProperNoun,3
Marias,ProperNoun,3
Markham,ProperNoun,3
Maryland,ProperNoun,3
Mayas,ProperNoun,3
Mountains,ProperNoun,3
Mujeres,ProperNoun,3
Myriapoda,ProperNoun,3
Nicaragua,ProperNoun,3
Nombres,ProperNoun,3
Nuevo,ProperNoun,3
Offshore,ProperNoun,3
Online,ProperNoun,3
Oonopidae,ProperNoun,3
Orizaba,ProperNoun,3
Orleans,ProperNoun,3
Pachuca,ProperNoun,3
Pacific-Galapagos,ProperNoun,3
Palmer,ProperNoun,3
París,ProperNoun,3
Peromyscus,ProperNoun,3
Perote,ProperNoun,3
Phylogeny,ProperNoun,3
Pinal,ProperNoun,3
Pottery,ProperNoun,3
Program,ProperNoun,3
Progreso,ProperNoun,3
Providencia,ProperNoun,3
Puebla,ProperNoun,3
Research,ProperNoun,3
Science,ProperNoun,3
Sinaloa,ProperNoun,3
Site,ProperNoun,3
Socorro,ProperNoun,3
Soto,ProperNoun,3
Stone,ProperNoun,3
Survey,ProperNoun,3
Tex,ProperNoun,3
Therapeutic,ProperNoun,3
Tobago,ProperNoun,3
Trees,ProperNoun,3
Tulancingo,ProperNoun,3
Tuxtepec,ProperNoun,3
Tuxtla,ProperNoun,3
Vera,ProperNoun,3
Victoria,ProperNoun,3
War,ProperNoun,3
Wildlife,ProperNoun,3
World,ProperNoun,3
Wyoming,ProperNoun,3
Xiphophorus,ProperNoun,3
Zimapán,ProperNoun,3
Zoologia,ProperNoun,3
amphibian,Noun,3
bee,Noun,3
congress,Noun,3
disease,Noun,3
estuary,Noun,3
forestry,Noun,3
fossil,Noun,3
frog,Noun,3
german,Adj,3
language,Noun,3
law,Noun,3
legislation,Noun,3
o,ProperNoun,3
shelf,Noun,3
spanish,Adj,3
survey,Noun,3
travels,Noun,3
use,Noun,3
17th,Adj,2
Adolph,ProperNoun,2
Agave,ProperNoun,2
Agricultura,ProperNoun,2
Ahualulco,ProperNoun,2
Alabama,ProperNoun,2
Alaska,ProperNoun,2
Albán,ProperNoun,2
Alfred,ProperNoun,2
Alphonso,ProperNoun,2
Amber,ProperNoun,2
Area,ProperNoun,2
Argentina,ProperNoun,2
Atlixco,ProperNoun,2
Atzompa,ProperNoun,2
Australia,ProperNoun,2
Batamotal,ProperNoun,2
Bats,ProperNoun,2
Beetles,ProperNoun,2
Belgium,ProperNoun,2
Benito,ProperNoun,2
Biography,ProperNoun,2
Blas,ProperNoun,2
Blossom,ProperNoun,2
Boundary,ProperNoun,2
Canyon,ProperNoun,2
Cape,ProperNoun,2
Catalogos,ProperNoun,2
Centennial,ProperNoun,2
Cereus,ProperNoun,2
Chapala,ProperNoun,2
Chemistry,ProperNoun,2
Chester,ProperNoun,2
China,ProperNoun,2
Choapan,ProperNoun,2
Climatología,ProperNoun,2
Coatzacoalcos,ProperNoun,2
Coffee,ProperNoun,2
Collecting,ProperNoun,2
Columbus,ProperNoun,2
Comit,ProperNoun,2
Control,ProperNoun,2
Conversion,ProperNoun,2
Costarina,ProperNoun,2
Craniology,ProperNoun,2
De,ProperNoun,2
Diccionarios,ProperNoun,2
Diplocentridae,ProperNoun,2
Diptera,ProperNoun,2
Dolichorhinotermes,ProperNoun,2
Dom,ProperNoun,2
East,ProperNoun,2
Echinodermata,ProperNoun,2
Eggs,ProperNoun,2
Emperor,ProperNoun,2
Encarnaci,ProperNoun,2
Eplingia,ProperNoun,2
Ernest,ProperNoun,2
Erpobdella,ProperNoun,2
Euphorbiaceae,ProperNoun,2
Expositio,ProperNoun,2
Featherwork,ProperNoun,2
Fishes,ProperNoun,2
Fruit,ProperNoun,2
GEOLOGIA,ProperNoun,2
Goldman,ProperNoun,2
Golfo,ProperNoun,2
Guanajuato,ProperNoun,2
Guayaquil,ProperNoun,2
Guayule,ProperNoun,2
Guichicovi,ProperNoun,2
Guti,ProperNoun,2
H,ProperNoun,2
Haiti,ProperNoun,2
Harter,ProperNoun,2
Hemenway,ProperNoun,2
Henry,ProperNoun,2
Herbs,ProperNoun,2
Hernández,ProperNoun,2
Herpetologists,ProperNoun,2
Hidalgo,ProperNoun,2
Hitchcock,ProperNoun,2
Hopi,ProperNoun,2
Huamantla,ProperNoun,2
Huauchinango,ProperNoun,2
Human,ProperNoun,2
Imperial,ProperNoun,2
Indonesia,ProperNoun,2
Industrial,ProperNoun,2
International,ProperNoun,2
Italy,ProperNoun,2
Ixmiquilp,ProperNoun,2
Jalapa,ProperNoun,2
Jamaica,ProperNoun,2
Joseph,ProperNoun,2
Julian,ProperNoun,2
Land,ProperNoun,2
Languages,ProperNoun,2
Las,ProperNoun,2
León,ProperNoun,2
Lucas,ProperNoun,2
Madrid,ProperNoun,2
Magellan,ProperNoun,2
Maine,ProperNoun,2
